Item_code,Item_name,Category,Sub_category
018200532184,BUD LIGHT 12OZ 18PK CANS,,
018200533495,BUD LIGHT 24PK LOOSE NR,,
018200610301,BUSCH 30PK CANS,,
018200610479,BUSCH 12PK CAN,,
018200790478,O DOUL S 12PK CANS,,
018200792830,O DOUL S 12OZ BOT CASE,,
018200860317,BUSCH LIGHT 30PK CANS,,
018200871672,BudIce 12oz 24pk,,
018200960017,STELLA ARTOIS CIDRE CASE BOT,,
018200960253,BUD BLACK CROWN CASE 12OZ BOT,,
018200960284,BUD LIGHT PLATINUM 18PK CANS,,
018200961182,BUD LT PLATINUM CASE BOT,,
018200961861,STELLA ARTOS CHALICE 10PK CANS,,
018200962202,BUDWEISER 18OZ BOT CASE,,
018200962943,BUD LIGHT LIME 18PK CANS,,
018200963230,BUD LT LIME 12OZ BOT CASE,,
018200964275,BUD LT LIME 7OZ BOT CASE,,
018200964367,MICH ULT LIME CACTUS CASE 12OZ,,
018200964503,LAND SHARK 12OZ BOT CASE,,
018200965388,BUD LT ALUMINUM 16OZ BOT 15PK,,
018200965500,MICHELOB ULT 12OZ CAN 30PK,,
018200966354,BUD LIGHT ALUM 16OZ BOT CASE,,
018200966606,BUD SELECT 30PK 12OZ CAN,,
018200967214,MICHELOB ULTRA 12OZ 18PK CANS,,
018200967283,MICHELOB ULTRA LOOS BOT CASE,,
018200967702,MICHELOB ULTRA 12OZ CASE 4PK,,
018200969102,OCULTO TEQ WITH BEER 25OZ CAN,,
018200969140,Mixx Tail,,
018200969195,BUD LT MIXX TAIL LONG ISLA 25O,,
018200969201,BUD LT MIXX TAIL HURRICANE 25O,,
018200969218,BUD LT MIXX TAIL FIREWALKE 25O,,
018200969348,BUD LT LIME CRAN-B-RITA 25OZ,,
018200970078,BUD LT LIME LEM-ADE-RIT 12PK 8,,
018200970085,BUD 16OZ ALUM BOT 12PK,,
018200970092,BUD LIGHT 16OZ ALUM BOT 12PK,,
018341151015,BAREFOOT CABERNET SAUVIGNON 1.5LT,,
018341151016,BERREFOOT cabernet sau  1.5lt,,
018341151022,BAREFOOT SAUV BLANC 1.5L,,
018341151053,BAREFOOT CHARDONNAY 1.5LT,,
018341151060,BERREFOOT WHITE ZIN 1.5LT,,
018341151091,BAREFOOT ZINF. 1.5L,,
018341151107,BAREFOOT MERLOT 1.5LT,,
018341151138,BAREFOOT SHIRAZ 1.5lt,,
018341751017,BAREFOOT CABERNET SAUVIGNON 750ML,,
018341751024,BAREFOOT SAUV BLANC 750ML,,
018341751055,BAREFOOT CHARDONNAY 750ML,,
018341751062,BAREFOOT WHITE ZIN 750ML,,
018341751093,BAREFOOT ZINF. 750ML,,
018341751109,BAREFOOT MERLOT 750ML,,
018341751130,BAREFOOT SHIRAZ 750ML,,
018341751253,BAREFOOT BUBBLY EXTRA DRY,,
018341751254,barefoot bubbly,,
